	Genes, after FDR cutoff	Genes, before FDR cutoff	Genes, final	Number of alignments mapped or unmapped by STAR	Number of alignments mapping to exactly two places	Number of alignments mapping to exactly two places (%)	Number of non-rRNA reads mapping uniquely after collapsing duplicates	Number of non-rRNA reads mapping uniquely after collapsing duplicates (%)	Number of rRNA reads mapping uniquely after collapsing duplicates	Number of reads	Number of reads mapping uniquely after collapsing duplicates	Number of reads mapping uniquely after collapsing duplicates (%)	Number of reads mapping uniquely at 20 AS	Number of reads mapping uniquely at 20 AS (%)	Number of reads mapping uniquely before collapsing	Number of reads mapping uniquely before collapsing (%)	Number of reads unmapped by STAR	Number of reads unmapped by STAR (%)	Peaks, after FDR cutoff	Peaks, before FDR cutoff	Peaks, final	non_rrna	rrna	total bed
combined_control			6.0																		6.0			
combined_exp			994.0																		1191.0			
control_AATA	6.0	77.0		286621.0	210714.0	83.0229864225	1492.0	23.1533209187	4952.0	253802.0	6444.0	2.53898708442	154428.0	60.8458562186	121030.0	47.686779458	68893.0	27.1443881451	6.0	83.0		1492.0	4952.0	6444.0
control_CCGG	2.0	14.0		91414.0	73751.0	88.0073030155	432.0	15.2112676056	2408.0	83801.0	2840.0	3.38898103841	61425.0	73.2986479875	47478.0	56.6556485006	15488.0	18.4818796912	2.0	14.0		432.0	2408.0	2840.0
control_TTAA	3.0	50.0		351996.0	268788.0	82.1602257062	1015.0	15.966650936	5342.0	327151.0	6357.0	1.94313940657	227794.0	69.6296205728	172851.0	52.8352351055	76686.0	23.4405519164	3.0	52.0		1015.0	5342.0	6357.0
control_TTGT	85.0	447.0		2127648.0	1614368.0	83.684253633	7997.0	33.1358249772	16137.0	1929118.0	24134.0	1.25103803915	1288576.0	66.7961213363	992978.0	51.4731602732	459829.0	23.8362298211	93.0	575.0		7997.0	16137.0	24134.0
fog_CGGA	593.0	1503.0		1696138.0	1379473.0	89.8820596589	18824.0	57.0251438958	14186.0	1534759.0	33010.0	2.15082628608	1106503.0	72.0962053326	914280.0	59.5715679139	279324.0	18.1998606947	676.0	2363.0		18824.0	14186.0	33010.0
fog_GGCA	977.0	2268.0		2187843.0	1749842.0	87.1151527341	31013.0	63.8548015154	17555.0	2008654.0	48568.0	2.41793758407	1467580.0	73.0628570177	1206784.0	60.0792371409	380914.0	18.9636443111	1160.0	3851.0		31013.0	17555.0	48568.0
fog_GGTT	668.0	1702.0		1453864.0	1146156.0	85.5773294249	21347.0	59.6135049848	14462.0	1339322.0	35809.0	2.67366622814	966096.0	72.1332136708	811023.0	60.5547433702	270940.0	20.2296385783	748.0	2688.0		21347.0	14462.0	35809.0
fog_TGGC	1637.0	3355.0		5674139.0	4408700.0	85.6294523207	56897.0	67.7296859748	27109.0	5148579.0	84006.0	1.63163467046	3578164.0	69.4980886959	2899065.0	56.3080609232	1100001.0	21.3651378371	2097.0	6609.0		56897.0	27109.0	84006.0
